source,target,relation,weight
U0062,M01169,a_envoyé,1
U0100,T00773,a_créé,1
T01340,TAG025,tagué,1
T00755,TAG006,tagué,1
T01053,TAG002,tagué,1
U0057,M00503,a_envoyé,1
U0034,T01689,assigné_à,1
U0022,T01878,assigné_à,1
T01483,TAG002,tagué,1
T00422,TAG014,tagué,1
T01422,TAG016,tagué,1
U0029,T00242,assigné_à,1
T02311,TAG007,tagué,1
M00413,T00566,lié_à,1
U0075,T01102,a_créé,1
T01202,TAG023,tagué,1
T01565,TAG006,tagué,1
U0083,T02189,a_créé,1
T02072,C0055,appartient_à,1
U0022,T00249,assigné_à,1
U0019,M00093,a_envoyé,1
U0002,T01684,assigné_à,1
U0021,T01023,assigné_à,1
T01863,C0016,appartient_à,1
U0004,M00660,a_envoyé,1
T00433,TAG012,tagué,1
U0034,T01236,a_créé,1
M01136,T00730,lié_à,1
T00734,TAG019,tagué,1
T00142,C0047,appartient_à,1
T00241,TAG001,tagué,1
U0045,T00240,assigné_à,1
T00707,TAG022,tagué,1
T02492,TAG011,tagué,1
U0031,T02269,assigné_à,1
T02182,TAG009,tagué,1
T02299,TAG015,tagué,1
U0005,T02565,assigné_à,1
U0031,T02121,a_créé,1
T01908,C0054,appartient_à,1
M00055,T01537,lié_à,1
T01964,C0042,appartient_à,1
T02621,TAG002,tagué,1
T00745,TAG009,tagué,1
U0061,T02911,a_créé,1
U0072,T02298,a_créé,1
T02893,TAG022,tagué,1
T02111,TAG015,tagué,1
U0088,T02611,assigné_à,1
U0012,M00072,a_envoyé,1
M01186,T01107,lié_à,1
T02571,TAG021,tagué,1
T01253,TAG007,tagué,1
T01049,TAG018,tagué,1
T02547,C0038,appartient_à,1
T01465,TAG014,tagué,1
U0030,M00643,a_envoyé,1
T02261,TAG009,tagué,1
U0016,T03291,assigné_à,1
T01359,C0048,appartient_à,1
T02250,C0042,appartient_à,1
T03225,TAG001,tagué,1
T02457,TAG002,tagué,1
U0041,T00528,assigné_à,1
T01615,TAG016,tagué,1
T01436,C0060,appartient_à,1
U0054,T02012,a_créé,1
T02862,TAG023,tagué,1
U0085,T00607,a_créé,1
T00676,TAG016,tagué,1
U0027,T01010,a_créé,1
U0089,M01168,a_envoyé,1
U0014,T00128,assigné_à,1
M00981,T02050,lié_à,1
T00612,TAG018,tagué,1
U0061,T01283,assigné_à,1
T03500,TAG006,tagué,1
T01285,TAG011,tagué,1
T02948,TAG014,tagué,1
T00278,C0004,appartient_à,1
U0099,T02799,a_créé,1
T00370,C0034,appartient_à,1
T03197,C0027,appartient_à,1
U0049,C0054,gère,6
T00171,TAG019,tagué,1
U0002,T02561,assigné_à,1
T01519,TAG022,tagué,1
T02958,TAG013,tagué,1
T01884,TAG012,tagué,1
U0059,T01719,a_créé,1
T02962,TAG010,tagué,1
M01123,T01570,lié_à,1
U0090,T03438,a_créé,1
U0098,T02620,assigné_à,1
U0100,T00247,a_créé,1
U0100,T00733,assigné_à,1
U0019,M00064,a_envoyé,1
U0025,C0008,gère,8
U0026,T01763,a_créé,1
U0057,T01886,a_créé,1
T00016,TAG022,tagué,1
U0021,T01762,a_créé,1
T03300,TAG014,tagué,1
U0027,T00541,assigné_à,1
T01794,TAG011,tagué,1
T00241,C0020,appartient_à,1
U0022,M01176,a_envoyé,1
T00646,TAG002,tagué,1
T00623,TAG009,tagué,1
T03266,C0038,appartient_à,1
T00202,C0022,appartient_à,1
U0031,T03436,assigné_à,1
U0020,T01331,a_créé,1
U0033,C0045,gère,3
T02251,TAG015,tagué,1
U0032,C0024,gère,10
T01526,C0051,appartient_à,1
U0025,T01758,a_créé,1
T00811,TAG002,tagué,1
T03121,TAG015,tagué,1
U0072,T03166,a_créé,1
U0043,M01134,a_envoyé,1
U0005,T03457,a_créé,1
T02042,TAG009,tagué,1
U0068,T01268,assigné_à,1
T02339,C0030,appartient_à,1
T01891,C0015,appartient_à,1
T02724,TAG014,tagué,1
T03141,TAG017,tagué,1
U0039,T00243,assigné_à,1
T02064,C0026,appartient_à,1
U0081,C0012,gère,6
U0005,M00271,a_envoyé,1
T02455,TAG003,tagué,1
U0015,C0038,gère,2
U0078,T02360,a_créé,1
T00399,C0031,appartient_à,1
T01996,C0029,appartient_à,1
U0091,C0039,gère,4
U0043,T01345,assigné_à,1
T02510,TAG011,tagué,1
T01976,C0028,appartient_à,1
T00656,TAG007,tagué,1
T01292,TAG023,tagué,1
U0027,T02237,assigné_à,1
T02922,C0006,appartient_à,1
U0093,T00420,a_créé,1
M01026,T03412,lié_à,1
T00110,TAG012,tagué,1
U0017,T03176,a_créé,1
U0040,T01567,a_créé,1
T02921,TAG001,tagué,1
T00404,C0013,appartient_à,1
T01170,TAG016,tagué,1
U0018,T03381,a_créé,1
T01865,TAG013,tagué,1
U0071,T02010,a_créé,1
U0067,M01051,a_envoyé,1
U0054,M00631,a_envoyé,1
T02620,TAG024,tagué,1
T01979,TAG015,tagué,1
T00100,C0029,appartient_à,1
U0002,T00241,a_créé,1
U0017,T02690,assigné_à,1
U0021,M00822,a_envoyé,1
T01628,TAG019,tagué,1
U0042,T02959,assigné_à,1
T02086,TAG022,tagué,1
U0063,M00830,a_envoyé,1
M00561,T02502,lié_à,1
U0002,T01176,a_créé,1
M00164,T02249,lié_à,1
T02894,C0031,appartient_à,1
M00094,T00521,lié_à,1
U0007,T02329,a_créé,1
U0051,T03062,a_créé,1
U0075,T03087,assigné_à,1
U0082,T00443,a_créé,1
T00079,TAG015,tagué,1
U0055,T00812,a_créé,1
T03046,TAG019,tagué,1
T01260,C0057,appartient_à,1
U0025,T02991,assigné_à,1
U0090,T02695,a_créé,1
T03149,TAG015,tagué,1
T00731,TAG024,tagué,1
U0018,T00844,a_créé,1
M00496,T01614,lié_à,1
U0074,T02513,a_créé,1
T01127,TAG023,tagué,1
M00655,T00205,lié_à,1
T01007,TAG007,tagué,1
T01316,TAG010,tagué,1
U0023,T01349,a_créé,1
T01863,TAG006,tagué,1
U0078,T00390,a_créé,1
U0011,T02289,assigné_à,1
T00344,TAG011,tagué,1
U0083,T01310,assigné_à,1
U0062,T03142,a_créé,1
U0051,M00230,a_envoyé,1
U0035,T00317,a_créé,1
T02872,C0039,appartient_à,1
U0022,M00983,a_envoyé,1
T00402,TAG021,tagué,1
U0054,M00220,a_envoyé,1
U0082,T02729,a_créé,1
T02626,TAG021,tagué,1
U0043,T02270,a_créé,1
T02876,TAG009,tagué,1
U0005,T01116,a_créé,1
T01578,TAG002,tagué,1
T01103,C0011,appartient_à,1
T02285,TAG022,tagué,1
T00661,C0010,appartient_à,1
U0083,T02066,a_créé,1
M00406,T00844,lié_à,1
M01064,T02429,lié_à,1
T01329,TAG003,tagué,1
M00306,T03011,lié_à,1
T00177,C0053,appartient_à,1
U0004,M00049,a_envoyé,1
U0054,T00808,a_créé,1
T01767,TAG017,tagué,1
T00937,C0008,appartient_à,1
U0072,T02712,a_créé,1
T00792,TAG012,tagué,1
U0072,T01128,a_créé,1
T00601,TAG025,tagué,1
T02886,TAG001,tagué,1
U0043,T02994,a_créé,1
M00529,T02153,lié_à,1
U0062,M00751,a_envoyé,1
U0069,M00676,a_envoyé,1
T00875,TAG023,tagué,1
U0034,T02469,a_créé,1
T01895,TAG012,tagué,1
T00407,TAG023,tagué,1
T02111,TAG020,tagué,1
T02641,TAG010,tagué,1
T02904,TAG017,tagué,1
T01129,C0048,appartient_à,1
T00119,C0001,appartient_à,1
T01825,TAG017,tagué,1
T03307,TAG016,tagué,1
T00833,TAG016,tagué,1
T00939,TAG001,tagué,1
T02734,C0015,appartient_à,1
U0088,T01543,assigné_à,1
T00101,TAG006,tagué,1
T03474,TAG019,tagué,1
T01692,TAG022,tagué,1
U0092,M00261,a_envoyé,1
T02742,C0052,appartient_à,1
M01060,T00417,lié_à,1
T02696,TAG008,tagué,1
M01175,T02435,lié_à,1
T02279,TAG008,tagué,1
U0068,T00728,a_créé,1
U0054,T02815,assigné_à,1
T00841,TAG020,tagué,1
T01077,C0008,appartient_à,1
U0092,M00689,a_envoyé,1
U0002,T02455,assigné_à,1
T00486,TAG016,tagué,1
U0076,T01204,assigné_à,1
T03231,TAG012,tagué,1
T02960,C0043,appartient_à,1
U0091,C0025,gère,8
T01208,TAG001,tagué,1
U0089,T02958,a_créé,1
T00609,TAG012,tagué,1
U0044,M00674,a_envoyé,1
U0038,T03173,a_créé,1
T03120,TAG002,tagué,1
U0072,T02791,a_créé,1
U0001,T01427,assigné_à,1
M00271,T00016,lié_à,1
U0083,T02106,assigné_à,1
U0020,T01146,a_créé,1
T00372,C0056,appartient_à,1
T03004,TAG005,tagué,1
U0099,T00187,a_créé,1
T00134,C0021,appartient_à,1
U0071,T03241,a_créé,1
T01173,TAG025,tagué,1
T00844,C0037,appartient_à,1
T00878,TAG017,tagué,1
T00800,C0034,appartient_à,1
T02340,TAG004,tagué,1
T00854,C0017,appartient_à,1
U0046,T00769,assigné_à,1
U0046,T01824,a_créé,1
U0007,T01987,assigné_à,1
T01011,TAG001,tagué,1
U0025,M00644,a_envoyé,1
U0036,T00043,assigné_à,1
T02985,TAG018,tagué,1
U0053,T01665,a_créé,1
T02639,TAG002,tagué,1
U0063,M01133,a_envoyé,1
U0072,C0031,gère,1
T01323,C0026,appartient_à,1
T02591,C0039,appartient_à,1
T03272,TAG003,tagué,1
U0087,T00749,assigné_à,1
T00287,TAG001,tagué,1
T01527,TAG010,tagué,1
T03450,TAG012,tagué,1
U0009,M01009,a_envoyé,1
T01037,TAG022,tagué,1
U0005,T02800,a_créé,1
T01758,TAG003,tagué,1
T02585,C0023,appartient_à,1
T02593,TAG022,tagué,1
U0009,T00364,a_créé,1
U0063,T01324,a_créé,1
U0048,T02074,a_créé,1
T00527,TAG004,tagué,1
T02013,TAG021,tagué,1
T02950,TAG004,tagué,1
T01013,C0054,appartient_à,1
M00415,T02424,lié_à,1
T00393,C0036,appartient_à,1
T01501,TAG001,tagué,1
T03446,TAG021,tagué,1
T00508,TAG022,tagué,1
T03127,C0043,appartient_à,1
U0092,T01838,assigné_à,1
T03115,C0035,appartient_à,1
T00578,TAG010,tagué,1
T01388,C0007,appartient_à,1
U0046,T02649,a_créé,1
U0025,T01681,a_créé,1
U0013,T00680,a_créé,1
T00017,TAG001,tagué,1
U0098,T02113,assigné_à,1
U0057,C0031,gère,8
U0021,T03207,a_créé,1
M00107,T03050,lié_à,1
T02449,TAG013,tagué,1
T00730,TAG004,tagué,1
T01320,C0024,appartient_à,1
T01841,C0018,appartient_à,1
U0029,M01050,a_envoyé,1
T02409,C0042,appartient_à,1
T00192,TAG013,tagué,1
T01652,TAG008,tagué,1
U0055,T00904,assigné_à,1
U0061,T02139,assigné_à,1
T03062,C0017,appartient_à,1
U0065,T01461,assigné_à,1
T00599,TAG024,tagué,1
M00887,T02639,lié_à,1
U0028,T00700,assigné_à,1
U0034,T00785,assigné_à,1
T00827,C0050,appartient_à,1
T01663,TAG019,tagué,1
U0077,T01431,a_créé,1
U0069,T02098,assigné_à,1
T00850,C0039,appartient_à,1
T03047,TAG017,tagué,1
T01261,C0038,appartient_à,1
T00373,TAG002,tagué,1
T02244,C0056,appartient_à,1
U0088,T01379,assigné_à,1
T02563,TAG004,tagué,1
U0082,T02634,a_créé,1
T03065,C0033,appartient_à,1
M00543,T00171,lié_à,1
U0044,M00512,a_envoyé,1
T02053,TAG001,tagué,1
U0095,M00853,a_envoyé,1
U0051,M00189,a_envoyé,1
T02613,C0030,appartient_à,1
T01424,TAG005,tagué,1
T01418,TAG002,tagué,1
T03121,TAG008,tagué,1
T00496,TAG023,tagué,1
T03270,TAG019,tagué,1
T01998,C0014,appartient_à,1
U0062,T01997,a_créé,1
T03495,TAG024,tagué,1
T03023,TAG004,tagué,1
T02552,TAG014,tagué,1
M00258,T01563,lié_à,1
T00323,TAG005,tagué,1
T01158,C0053,appartient_à,1
U0035,M00027,a_envoyé,1
T00833,C0023,appartient_à,1
T00627,C0021,appartient_à,1
U0004,T01860,assigné_à,1
U0021,T03431,a_créé,1
U0057,T00833,assigné_à,1
T01712,TAG025,tagué,1
T00122,TAG016,tagué,1
U0017,T00526,a_créé,1
T02026,C0002,appartient_à,1
T02436,TAG005,tagué,1
U0011,T01922,assigné_à,1
U0088,T01437,assigné_à,1
M00775,T00258,lié_à,1
T02756,TAG017,tagué,1
U0017,T02666,assigné_à,1
T01769,TAG014,tagué,1
T00466,TAG002,tagué,1
T01302,C0037,appartient_à,1
T02332,C0034,appartient_à,1
U0041,T01119,a_créé,1
T02522,TAG019,tagué,1
T01021,TAG013,tagué,1
T01266,C0049,appartient_à,1
U0042,T01585,a_créé,1
T02930,TAG007,tagué,1
U0085,T01087,a_créé,1
U0004,C0034,gère,5
T00263,C0053,appartient_à,1
T02859,C0013,appartient_à,1
T03322,C0017,appartient_à,1
T00683,C0054,appartient_à,1
U0022,T03130,a_créé,1
T00338,TAG018,tagué,1
M00196,T00626,lié_à,1
T02320,TAG024,tagué,1
T03048,TAG005,tagué,1
T00658,TAG001,tagué,1
T00317,TAG024,tagué,1
T00592,TAG022,tagué,1
U0097,T02071,a_créé,1
T02352,C0018,appartient_à,1
T00749,TAG024,tagué,1
U0061,T02294,a_créé,1
M00251,T02664,lié_à,1
T03074,TAG008,tagué,1
T02312,TAG023,tagué,1
T02890,C0057,appartient_à,1
M00829,T01094,lié_à,1
U0001,T02714,a_créé,1
M00417,T00362,lié_à,1
T01007,C0019,appartient_à,1
T01564,TAG013,tagué,1
U0001,T03267,a_créé,1
T02091,C0049,appartient_à,1
T00840,C0050,appartient_à,1
T00581,TAG003,tagué,1
U0088,T01911,a_créé,1
U0089,T00155,a_créé,1
U0048,T03035,assigné_à,1
U0088,M00288,a_envoyé,1
U0020,T01364,a_créé,1
T02639,C0007,appartient_à,1
U0093,T00942,a_créé,1
T00907,C0012,appartient_à,1
U0015,T00323,a_créé,1
T02042,TAG015,tagué,1
U0080,T02764,assigné_à,1
T00159,TAG004,tagué,1
U0031,T02300,assigné_à,1
T01444,C0028,appartient_à,1
U0051,T00225,assigné_à,1
T00663,C0055,appartient_à,1
T02739,TAG020,tagué,1
T01521,TAG002,tagué,1
T01659,TAG020,tagué,1
U0049,T00078,a_créé,1
M00310,T00784,lié_à,1
T01075,C0058,appartient_à,1
U0077,M00630,a_envoyé,1
T02450,TAG018,tagué,1
U0003,M00854,a_envoyé,1
T00577,TAG001,tagué,1
U0005,T00154,a_créé,1
T03306,C0040,appartient_à,1
U0072,T02195,a_créé,1
T01328,C0031,appartient_à,1
T01933,TAG019,tagué,1
U0051,T01014,a_créé,1
U0077,T02033,a_créé,1
T01398,TAG025,tagué,1
T01060,TAG003,tagué,1
U0023,T01309,assigné_à,1
T01656,C0026,appartient_à,1
M00162,T01477,lié_à,1
T02725,C0046,appartient_à,1
U0036,M00457,a_envoyé,1
T03140,C0010,appartient_à,1
T03337,TAG002,tagué,1
T00379,C0009,appartient_à,1
T02171,C0046,appartient_à,1
T01552,TAG010,tagué,1
T03232,TAG024,tagué,1
T01633,TAG012,tagué,1
T03157,TAG015,tagué,1
T01432,TAG024,tagué,1
M00878,T02218,lié_à,1
U0037,T02893,assigné_à,1
T01285,C0030,appartient_à,1
T01277,C0008,appartient_à,1
T00331,TAG003,tagué,1
T03113,C0007,appartient_à,1
T00875,TAG017,tagué,1
T01164,TAG012,tagué,1
U0100,T02641,assigné_à,1
T02135,C0060,appartient_à,1
T00162,C0023,appartient_à,1
T03214,TAG012,tagué,1
M00844,T00337,lié_à,1
U0088,T03443,a_créé,1
T01843,TAG017,tagué,1
T00983,C0056,appartient_à,1
T02850,TAG005,tagué,1
T01421,C0046,appartient_à,1
T02079,C0009,appartient_à,1
U0063,T00594,assigné_à,1
T00594,TAG021,tagué,1
T00658,TAG008,tagué,1
T00032,TAG009,tagué,1
U0015,T02896,assigné_à,1
M00898,T03196,lié_à,1
T00572,TAG019,tagué,1
U0091,T00882,assigné_à,1
T00679,TAG023,tagué,1
T03305,C0004,appartient_à,1
T01727,TAG005,tagué,1
U0052,T00612,a_créé,1
T01034,C0059,appartient_à,1
T03373,C0010,appartient_à,1
U0043,T00816,a_créé,1
T00171,C0043,appartient_à,1
U0029,T03129,assigné_à,1
U0007,T01925,assigné_à,1
T01453,C0016,appartient_à,1
T02029,TAG025,tagué,1
M00713,T02074,lié_à,1
T02784,C0022,appartient_à,1
U0090,T03135,a_créé,1
T00528,TAG005,tagué,1
U0072,C0022,gère,3
T01429,C0060,appartient_à,1
U0009,T02871,a_créé,1
U0076,T01643,a_créé,1
U0085,T02608,assigné_à,1
T01026,C0029,appartient_à,1
U0087,T02550,a_créé,1
U0073,T01453,assigné_à,1
T00964,C0027,appartient_à,1
T00913,TAG015,tagué,1
T00879,TAG024,tagué,1
T01683,C0030,appartient_à,1
U0001,T00632,assigné_à,1
T02077,TAG001,tagué,1
U0030,M00665,a_envoyé,1
U0009,T01726,assigné_à,1
U0012,T01011,assigné_à,1
T01889,C0007,appartient_à,1
T00669,C0039,appartient_à,1
T00608,C0008,appartient_à,1
U0002,T03063,a_créé,1
T03224,TAG004,tagué,1
U0067,T01935,a_créé,1
T02574,TAG016,tagué,1
T03266,TAG006,tagué,1
T01317,C0015,appartient_à,1
T01478,TAG022,tagué,1
U0004,T00389,a_créé,1
T02961,TAG020,tagué,1
U0003,T02040,assigné_à,1
U0009,T00620,a_créé,1
T02113,C0037,appartient_à,1
U0037,M01078,a_envoyé,1
T02069,TAG015,tagué,1
T02490,TAG020,tagué,1
U0013,T00952,a_créé,1
U0100,T01206,assigné_à,1
U0061,T02732,assigné_à,1
T02452,TAG001,tagué,1
U0048,T01424,assigné_à,1
T03291,C0037,appartient_à,1
T00118,TAG012,tagué,1
T02640,TAG020,tagué,1
U0051,T03190,a_créé,1
U0010,C0013,gère,3
U0036,T02870,a_créé,1
U0089,T01085,a_créé,1
U0018,M00841,a_envoyé,1
T02935,TAG013,tagué,1
U0012,T03490,a_créé,1
U0073,T00845,a_créé,1
T02484,TAG017,tagué,1
T00800,TAG003,tagué,1
T00850,TAG025,tagué,1
U0062,M00200,a_envoyé,1
U0051,T02357,a_créé,1
T00999,TAG016,tagué,1
T00701,TAG012,tagué,1
T02246,C0001,appartient_à,1
M00142,T01314,lié_à,1
M00991,T02597,lié_à,1
U0065,T01778,assigné_à,1
U0049,T00194,assigné_à,1
T00689,TAG004,tagué,1
U0021,T01867,a_créé,1
U0087,T00176,a_créé,1
T02451,TAG017,tagué,1
T00343,C0055,appartient_à,1
T01931,C0005,appartient_à,1
U0096,T02874,assigné_à,1
U0094,T00361,assigné_à,1
U0027,M00760,a_envoyé,1
T02005,C0057,appartient_à,1
T03255,TAG006,tagué,1
U0091,T02874,a_créé,1
T03111,TAG004,tagué,1
T02536,C0030,appartient_à,1
T02145,C0050,appartient_à,1
T01110,TAG008,tagué,1
U0042,C0044,gère,5
U0059,T01421,assigné_à,1
T00339,C0007,appartient_à,1
T02153,TAG016,tagué,1
T01686,TAG014,tagué,1
U0018,T02154,a_créé,1
T01027,C0011,appartient_à,1
T02847,TAG009,tagué,1
U0071,T00156,assigné_à,1
T03119,C0036,appartient_à,1
T01467,TAG017,tagué,1
M01195,T03086,lié_à,1
T02891,TAG025,tagué,1
U0014,C0005,gère,2
T00409,TAG011,tagué,1
M01029,T02055,lié_à,1
T00878,C0028,appartient_à,1
U0033,T01853,assigné_à,1
U0009,T00516,assigné_à,1
T00761,C0036,appartient_à,1
T01057,C0007,appartient_à,1
T00152,TAG002,tagué,1
U0068,T02279,a_créé,1
U0044,T01312,assigné_à,1
T03182,C0037,appartient_à,1
T01447,C0025,appartient_à,1
T02380,TAG011,tagué,1
T02932,C0036,appartient_à,1
U0003,T01756,assigné_à,1
T03320,TAG002,tagué,1
T02483,C0015,appartient_à,1
U0079,M01164,a_envoyé,1
T03497,C0014,appartient_à,1
T00773,C0042,appartient_à,1
M00785,T01821,lié_à,1
T00154,TAG022,tagué,1
T03126,TAG011,tagué,1
T00542,TAG007,tagué,1
U0044,M00365,a_envoyé,1
T02532,TAG022,tagué,1
T01600,C0053,appartient_à,1
T00974,C0026,appartient_à,1
T01234,C0026,appartient_à,1
U0056,T01721,a_créé,1
U0084,T02702,assigné_à,1
U0097,M00826,a_envoyé,1
U0061,T03486,assigné_à,1
U0019,T01365,a_créé,1
U0075,T02331,assigné_à,1
T00641,C0005,appartient_à,1
T03104,TAG007,tagué,1
T00099,TAG019,tagué,1
T02646,C0049,appartient_à,1
U0077,T02232,a_créé,1
U0011,C0052,gère,1
T02105,C0012,appartient_à,1
U0025,T01417,a_créé,1
T01483,TAG013,tagué,1
T02854,TAG006,tagué,1
T02855,C0013,appartient_à,1
T02548,TAG007,tagué,1
T00649,C0009,appartient_à,1
T00637,TAG014,tagué,1
T00038,C0024,appartient_à,1
T02919,TAG004,tagué,1
U0027,T00307,a_créé,1
T02602,TAG024,tagué,1
U0022,T02754,assigné_à,1
U0032,T01810,a_créé,1
T03410,TAG017,tagué,1
T00039,C0032,appartient_à,1
T03042,C0045,appartient_à,1
U0082,M00315,a_envoyé,1
U0067,T02807,a_créé,1
T01826,C0049,appartient_à,1
U0014,T02333,a_créé,1
T03165,C0044,appartient_à,1
U0020,T00415,a_créé,1
T01325,C0028,appartient_à,1
U0039,T00890,a_créé,1
U0075,T03226,assigné_à,1
T01938,TAG001,tagué,1
U0033,M00366,a_envoyé,1
U0083,T00287,a_créé,1
T00910,TAG006,tagué,1
T02041,C0052,appartient_à,1
U0044,T03010,assigné_à,1
U0096,T01188,a_créé,1
T02964,TAG007,tagué,1
T02663,C0030,appartient_à,1
T00254,TAG001,tagué,1
T01737,TAG007,tagué,1
U0092,T00785,a_créé,1
U0049,T01990,assigné_à,1
M00483,T01675,lié_à,1
U0086,T01134,assigné_à,1
T02315,TAG016,tagué,1
T01560,C0057,appartient_à,1
T03345,TAG007,tagué,1
T01012,TAG023,tagué,1
T01791,C0018,appartient_à,1
U0061,T00731,a_créé,1
U0061,T02664,a_créé,1
T01419,C0035,appartient_à,1
U0072,T00591,a_créé,1
U0030,T00822,assigné_à,1
T01384,TAG018,tagué,1
U0090,T02104,assigné_à,1
T01974,TAG018,tagué,1
T00177,TAG006,tagué,1
T01811,C0029,appartient_à,1
