id,label,type,attribute1,attribute2,attribute3
T00900,Ticket #900 - Security,ticket,in_progress,2025-06-16,low
T02704,Ticket #2704 - Security,ticket,open,2026-02-03,critical
T00510,Ticket #510 - Training,ticket,in_progress,2025-05-10,critical
T01738,Ticket #1738 - Security,ticket,resolved,2026-01-20,critical
T00571,Ticket #571 - Security,ticket,pending,2025-11-30,critical
T03378,Ticket #3378 - Bug,ticket,resolved,2025-05-20,high
T02166,Ticket #2166 - Integration,ticket,resolved,2025-05-20,low
T01951,Ticket #1951 - Bug,ticket,open,2025-06-07,high
T03297,Ticket #3297 - Billing,ticket,in_progress,2025-06-27,high
T02650,Ticket #2650 - Support,ticket,open,2026-01-22,low
M00638,Message #638,message,inbound,2026-02-12,true
T00453,Ticket #453 - Performance,ticket,pending,2025-10-21,low
T02465,Ticket #2465 - Onboarding,ticket,open,2025-05-25,low
T03285,Ticket #3285 - Security,ticket,resolved,2025-03-17,high
T02382,Ticket #2382 - Bug,ticket,in_progress,2025-03-10,medium
T02945,Ticket #2945 - Security,ticket,resolved,2025-10-11,low
M00868,Message #868,message,outbound,2026-02-22,true
U0059,Sam Dupont,user,supervisor,2024-08-18,false
T00921,Ticket #921 - Training,ticket,closed,2025-12-04,low
T02002,Ticket #2002 - Bug,ticket,open,2025-10-09,critical
M00232,Message #232,message,outbound,2026-02-17,true
T02954,Ticket #2954 - Security,ticket,pending,2025-12-01,high
M00016,Message #16,message,internal_note,2025-09-17,true
T01179,Ticket #1179 - Security,ticket,open,2025-12-26,low
M00848,Message #848,message,inbound,2025-06-06,true
T00266,Ticket #266 - Bug,ticket,pending,2025-11-20,medium
T00085,Ticket #85 - Integration,ticket,in_progress,2025-12-26,critical
M00101,Message #101,message,inbound,2025-08-16,true
M00372,Message #372,message,inbound,2025-12-23,true
M00024,Message #24,message,inbound,2025-11-05,true
M00542,Message #542,message,inbound,2025-08-22,true
T01274,Ticket #1274 - Security,ticket,closed,2025-06-08,medium
M00594,Message #594,message,internal_note,2025-09-27,true
M00376,Message #376,message,internal_note,2025-07-25,true
T01121,Ticket #1121 - Onboarding,ticket,resolved,2025-12-08,medium
T00323,Ticket #323 - Integration,ticket,resolved,2025-03-27,high
T01566,Ticket #1566 - Billing,ticket,closed,2025-05-02,critical
T00263,Ticket #263 - Billing,ticket,closed,2026-02-19,high
T00201,Ticket #201 - Documentation,ticket,in_progress,2025-04-02,high
M00009,Message #9,message,inbound,2025-08-19,true
T01460,Ticket #1460 - Security,ticket,in_progress,2026-03-05,critical
M00622,Message #622,message,outbound,2026-02-26,true
T02916,Ticket #2916 - Performance,ticket,open,2026-01-14,critical
T00970,Ticket #970 - Integration,ticket,open,2025-10-10,medium
T02720,Ticket #2720 - Training,ticket,resolved,2025-04-06,critical
T02544,Ticket #2544 - Bug,ticket,pending,2026-01-13,medium
T01642,Ticket #1642 - Security,ticket,resolved,2025-09-01,low
T03288,Ticket #3288 - Bug,ticket,closed,2025-09-02,high
T00443,Ticket #443 - Integration,ticket,pending,2025-12-21,high
T00027,Ticket #27 - Integration,ticket,resolved,2026-03-02,low
T03147,Ticket #3147 - Performance,ticket,pending,2025-04-14,high
T01870,Ticket #1870 - Billing,ticket,resolved,2025-06-14,low
T01093,Ticket #1093 - Security,ticket,resolved,2025-03-27,critical
T01895,Ticket #1895 - Billing,ticket,resolved,2025-07-05,critical
T01135,Ticket #1135 - Integration,ticket,open,2025-08-27,high
T00220,Ticket #220 - Security,ticket,in_progress,2026-02-01,high
U0079,Rose Durand,user,agent,2025-04-03,true
T03200,Ticket #3200 - Performance,ticket,in_progress,2025-08-26,low
M00819,Message #819,message,internal_note,2025-12-29,true
C0051,PrimeTech #51,client,enterprise,2025-09-22,false
M00190,Message #190,message,internal_note,2026-02-14,true
M00745,Message #745,message,internal_note,2025-05-24,true
T00894,Ticket #894 - Training,ticket,resolved,2025-05-23,critical
T00806,Ticket #806 - Documentation,ticket,resolved,2025-12-31,low
T00954,Ticket #954 - Documentation,ticket,pending,2026-01-03,medium
M00461,Message #461,message,internal_note,2025-07-18,true
T00305,Ticket #305 - Training,ticket,closed,2025-06-12,high
C0060,Acme Corp #60,client,pro,2023-11-07,true
M00443,Message #443,message,internal_note,2025-10-28,true
T02048,Ticket #2048 - Security,ticket,resolved,2025-08-14,high
T00565,Ticket #565 - Integration,ticket,closed,2025-08-15,medium
T02943,Ticket #2943 - Onboarding,ticket,closed,2026-02-26,high
M01012,Message #1012,message,internal_note,2025-05-28,true
M00245,Message #245,message,outbound,2025-05-23,true
T00074,Ticket #74 - Security,ticket,open,2025-08-16,low
M00575,Message #575,message,inbound,2025-07-25,true
T01796,Ticket #1796 - Performance,ticket,open,2025-10-21,low
T01405,Ticket #1405 - Feature Request,ticket,resolved,2025-08-22,medium
T00824,Ticket #824 - Documentation,ticket,in_progress,2025-08-19,low
T00456,Ticket #456 - Performance,ticket,in_progress,2025-09-28,critical
T03330,Ticket #3330 - Performance,ticket,pending,2026-01-21,critical
T01979,Ticket #1979 - Feature Request,ticket,open,2025-08-09,critical
C0028,Apex #28,client,pro,2024-06-21,false
T02528,Ticket #2528 - Documentation,ticket,in_progress,2025-11-13,critical
T01191,Ticket #1191 - Onboarding,ticket,in_progress,2026-01-08,critical
U0009,Yann Petit,user,admin,2025-03-23,false
T02772,Ticket #2772 - Security,ticket,resolved,2026-02-23,medium
T03449,Ticket #3449 - Documentation,ticket,in_progress,2025-12-23,low
T01593,Ticket #1593 - Feature Request,ticket,in_progress,2025-09-20,low
T00721,Ticket #721 - Training,ticket,closed,2026-02-23,high
T01617,Ticket #1617 - Onboarding,ticket,closed,2025-10-28,medium
M00795,Message #795,message,internal_note,2025-09-01,true
T02751,Ticket #2751 - Onboarding,ticket,resolved,2025-11-25,medium
T01604,Ticket #1604 - Integration,ticket,in_progress,2025-09-03,low
M01050,Message #1050,message,inbound,2025-08-22,true
T01380,Ticket #1380 - Performance,ticket,in_progress,2025-12-16,critical
T02341,Ticket #2341 - Training,ticket,in_progress,2025-05-21,critical
T00241,Ticket #241 - Onboarding,ticket,closed,2025-11-21,high
M00672,Message #672,message,inbound,2025-04-14,true
T01070,Ticket #1070 - Feature Request,ticket,closed,2025-06-23,critical
T00792,Ticket #792 - Feature Request,ticket,in_progress,2026-01-18,high
T01103,Ticket #1103 - Onboarding,ticket,closed,2025-11-13,medium
T02207,Ticket #2207 - Feature Request,ticket,in_progress,2025-05-23,medium
M00825,Message #825,message,inbound,2025-05-20,true
T00662,Ticket #662 - Training,ticket,closed,2025-09-03,medium
T01519,Ticket #1519 - Feature Request,ticket,pending,2025-07-04,low
M00404,Message #404,message,inbound,2025-12-10,true
T03139,Ticket #3139 - Performance,ticket,pending,2025-12-09,high
M00677,Message #677,message,inbound,2026-02-17,true
T00979,Ticket #979 - Performance,ticket,resolved,2025-04-22,critical
T02411,Ticket #2411 - Bug,ticket,open,2025-08-02,critical
M00708,Message #708,message,outbound,2026-01-08,true
U0029,Hugo Garcia,user,admin,2025-09-30,false
M00566,Message #566,message,internal_note,2025-04-28,true
T00100,Ticket #100 - Training,ticket,resolved,2025-04-12,low
T02902,Ticket #2902 - Onboarding,ticket,open,2025-11-26,medium
T01306,Ticket #1306 - Training,ticket,closed,2025-11-12,low
T02667,Ticket #2667 - Feature Request,ticket,pending,2025-09-14,critical
T02429,Ticket #2429 - Performance,ticket,in_progress,2026-03-06,critical
T03390,Ticket #3390 - Bug,ticket,closed,2025-07-28,low
T02887,Ticket #2887 - Feature Request,ticket,in_progress,2025-09-03,high
T00146,Ticket #146 - Security,ticket,in_progress,2025-04-14,high
T02750,Ticket #2750 - Performance,ticket,resolved,2026-01-18,medium
M00704,Message #704,message,inbound,2025-11-27,true
T01235,Ticket #1235 - Performance,ticket,in_progress,2025-10-31,high
T01948,Ticket #1948 - Performance,ticket,closed,2025-06-17,high
T03423,Ticket #3423 - Billing,ticket,pending,2025-04-08,high
M00707,Message #707,message,outbound,2025-10-28,true
T01338,Ticket #1338 - Support,ticket,open,2025-04-26,high
T03385,Ticket #3385 - Billing,ticket,open,2026-02-25,low
T02251,Ticket #2251 - Performance,ticket,closed,2025-11-06,critical
T00171,Ticket #171 - Feature Request,ticket,pending,2025-08-04,high
T02480,Ticket #2480 - Performance,ticket,in_progress,2025-10-11,high
T02000,Ticket #2000 - Billing,ticket,pending,2025-08-14,medium
M00810,Message #810,message,outbound,2025-04-14,true
T01216,Ticket #1216 - Feature Request,ticket,open,2025-05-22,critical
U0042,Paula Laurent,user,agent,2025-03-29,true
T00414,Ticket #414 - Onboarding,ticket,pending,2025-10-07,low
T01125,Ticket #1125 - Bug,ticket,closed,2025-08-07,critical
T02348,Ticket #2348 - Support,ticket,open,2025-12-08,medium
T03287,Ticket #3287 - Billing,ticket,closed,2025-06-16,high
T02346,Ticket #2346 - Performance,ticket,open,2025-08-21,critical
T00398,Ticket #398 - Integration,ticket,resolved,2025-04-11,medium
C0053,Horizon #53,client,pro,2024-07-12,true
T00435,Ticket #435 - Bug,ticket,pending,2025-08-13,medium
T02675,Ticket #2675 - Support,ticket,open,2025-09-13,high
T02648,Ticket #2648 - Documentation,ticket,open,2025-04-21,critical
M00890,Message #890,message,outbound,2025-11-20,true
T01633,Ticket #1633 - Integration,ticket,open,2025-12-29,low
U0020,Antoine Faure,user,supervisor,2025-04-22,true
T01320,Ticket #1320 - Bug,ticket,in_progress,2025-08-24,low
T02616,Ticket #2616 - Performance,ticket,pending,2025-06-17,low
T00420,Ticket #420 - Integration,ticket,in_progress,2025-08-31,critical
T01659,Ticket #1659 - Bug,ticket,open,2025-10-20,critical
T01612,Ticket #1612 - Onboarding,ticket,closed,2026-02-06,low
M00950,Message #950,message,internal_note,2025-12-06,true
T03396,Ticket #3396 - Billing,ticket,closed,2026-01-08,critical
T03130,Ticket #3130 - Billing,ticket,open,2025-10-02,high
M01120,Message #1120,message,outbound,2025-06-15,true
M00734,Message #734,message,internal_note,2025-12-16,true
T01055,Ticket #1055 - Integration,ticket,resolved,2025-09-12,low
T02705,Ticket #2705 - Feature Request,ticket,resolved,2025-10-07,high
T01095,Ticket #1095 - Onboarding,ticket,open,2025-08-27,medium
T03414,Ticket #3414 - Security,ticket,pending,2025-04-26,high
C0002,DataFlow #2,client,pro,2025-01-22,false
T01497,Ticket #1497 - Integration,ticket,pending,2025-08-04,high
T02212,Ticket #2212 - Performance,ticket,in_progress,2025-04-17,medium
T01680,Ticket #1680 - Onboarding,ticket,open,2026-01-09,medium
M00240,Message #240,message,internal_note,2025-09-24,true
M00597,Message #597,message,internal_note,2025-10-25,true
T03000,Ticket #3000 - Security,ticket,open,2025-08-01,low
T01586,Ticket #1586 - Bug,ticket,resolved,2025-04-02,high
T02693,Ticket #2693 - Onboarding,ticket,in_progress,2025-11-22,medium
T02070,Ticket #2070 - Training,ticket,in_progress,2026-01-18,high
M00057,Message #57,message,internal_note,2025-09-13,true
M01000,Message #1000,message,internal_note,2026-01-26,true
T00413,Ticket #413 - Onboarding,ticket,resolved,2025-11-10,critical
M00715,Message #715,message,inbound,2026-02-17,true
T02817,Ticket #2817 - Onboarding,ticket,pending,2026-03-07,critical
M01101,Message #1101,message,inbound,2025-08-14,true
T02603,Ticket #2603 - Onboarding,ticket,pending,2025-04-19,medium
T01718,Ticket #1718 - Integration,ticket,resolved,2025-11-12,medium
T01530,Ticket #1530 - Billing,ticket,open,2025-12-12,low
M00637,Message #637,message,outbound,2026-03-02,true
M00748,Message #748,message,inbound,2025-04-14,true
T01891,Ticket #1891 - Integration,ticket,closed,2025-04-12,medium
T00221,Ticket #221 - Integration,ticket,resolved,2026-02-19,low
T02198,Ticket #2198 - Security,ticket,pending,2025-05-27,medium
T03224,Ticket #3224 - Support,ticket,resolved,2025-10-21,medium
T00963,Ticket #963 - Security,ticket,pending,2025-09-07,high
T01814,Ticket #1814 - Security,ticket,closed,2025-05-24,low
T00411,Ticket #411 - Performance,ticket,open,2025-12-06,medium
T02475,Ticket #2475 - Bug,ticket,closed,2025-10-19,medium
M00259,Message #259,message,outbound,2025-07-29,true
T02814,Ticket #2814 - Bug,ticket,open,2025-05-15,low
M00569,Message #569,message,inbound,2025-06-12,true
M00800,Message #800,message,inbound,2025-05-17,true
T01085,Ticket #1085 - Feature Request,ticket,in_progress,2025-10-16,high
M00493,Message #493,message,inbound,2025-08-20,true
T03455,Ticket #3455 - Onboarding,ticket,resolved,2025-06-16,critical
T01634,Ticket #1634 - Onboarding,ticket,open,2025-08-17,medium
T01162,Ticket #1162 - Performance,ticket,pending,2025-05-09,medium
M00632,Message #632,message,outbound,2025-10-20,true
M00822,Message #822,message,outbound,2026-01-12,true
T03171,Ticket #3171 - Onboarding,ticket,open,2025-12-06,medium
T02259,Ticket #2259 - Training,ticket,pending,2025-08-12,low
T02405,Ticket #2405 - Bug,ticket,in_progress,2025-08-21,medium
T02108,Ticket #2108 - Documentation,ticket,pending,2025-12-24,high
T02749,Ticket #2749 - Support,ticket,in_progress,2025-03-17,critical
T02654,Ticket #2654 - Integration,ticket,pending,2025-12-05,medium
M00888,Message #888,message,outbound,2025-10-03,true
T00109,Ticket #109 - Training,ticket,closed,2025-12-13,medium
T03087,Ticket #3087 - Onboarding,ticket,resolved,2025-05-15,high
T02557,Ticket #2557 - Bug,ticket,closed,2025-10-17,medium
M00215,Message #215,message,outbound,2025-08-17,true
T01194,Ticket #1194 - Support,ticket,closed,2025-06-28,low
T01386,Ticket #1386 - Support,ticket,open,2025-07-26,low
T03280,Ticket #3280 - Billing,ticket,pending,2025-08-11,high
T03110,Ticket #3110 - Security,ticket,closed,2026-03-05,medium
T01458,Ticket #1458 - Support,ticket,resolved,2025-04-22,low
M00077,Message #77,message,outbound,2025-08-02,true
T03223,Ticket #3223 - Bug,ticket,pending,2025-05-21,critical
T02244,Ticket #2244 - Bug,ticket,in_progress,2025-08-31,critical
U0008,Jack Simon,user,admin,2025-11-26,true
T02287,Ticket #2287 - Bug,ticket,pending,2026-03-02,high
T01079,Ticket #1079 - Support,ticket,open,2025-05-08,medium
M00949,Message #949,message,outbound,2026-02-04,true
T00945,Ticket #945 - Integration,ticket,open,2025-04-29,medium
M00778,Message #778,message,outbound,2025-03-12,true
M00732,Message #732,message,internal_note,2025-09-24,true
M00408,Message #408,message,inbound,2025-04-02,true
T00746,Ticket #746 - Security,ticket,open,2025-11-09,high
T00599,Ticket #599 - Support,ticket,closed,2026-02-08,high
T01247,Ticket #1247 - Training,ticket,pending,2026-02-19,critical
T02038,Ticket #2038 - Integration,ticket,pending,2026-02-20,high
T01462,Ticket #1462 - Performance,ticket,pending,2025-10-11,high
M01183,Message #1183,message,inbound,2025-07-17,true
T02486,Ticket #2486 - Support,ticket,in_progress,2025-04-22,critical
M00837,Message #837,message,internal_note,2025-08-14,true
T03452,Ticket #3452 - Feature Request,ticket,closed,2025-04-19,medium
T01493,Ticket #1493 - Training,ticket,open,2025-03-13,low
T02034,Ticket #2034 - Feature Request,ticket,resolved,2025-09-02,medium
M00476,Message #476,message,inbound,2025-07-10,true
T01476,Ticket #1476 - Bug,ticket,pending,2026-01-10,low
T03143,Ticket #3143 - Onboarding,ticket,open,2025-07-03,high
M00935,Message #935,message,internal_note,2025-03-16,true
T02112,Ticket #2112 - Billing,ticket,in_progress,2025-08-24,high
T00243,Ticket #243 - Billing,ticket,open,2025-10-10,low
M00184,Message #184,message,inbound,2025-06-13,true
T02481,Ticket #2481 - Bug,ticket,open,2025-09-09,medium
T00200,Ticket #200 - Billing,ticket,closed,2025-08-28,medium
T00497,Ticket #497 - Performance,ticket,in_progress,2025-07-10,low
M00554,Message #554,message,internal_note,2026-02-08,true
T01378,Ticket #1378 - Training,ticket,pending,2025-09-10,low
T03342,Ticket #3342 - Training,ticket,resolved,2025-08-09,low
T02969,Ticket #2969 - Feature Request,ticket,closed,2025-06-20,critical
M00037,Message #37,message,internal_note,2025-05-24,true
T01761,Ticket #1761 - Bug,ticket,in_progress,2025-12-05,critical
T00300,Ticket #300 - Bug,ticket,closed,2025-05-03,critical
M00227,Message #227,message,outbound,2025-08-29,true
U0011,Yann Bernard,user,supervisor,2025-05-14,false
T00926,Ticket #926 - Bug,ticket,in_progress,2026-02-14,critical
T03267,Ticket #3267 - Onboarding,ticket,open,2026-02-23,medium
T01876,Ticket #1876 - Performance,ticket,open,2025-07-16,high
T02782,Ticket #2782 - Integration,ticket,closed,2025-06-16,high
T03410,Ticket #3410 - Billing,ticket,resolved,2025-12-12,medium
T01425,Ticket #1425 - Feature Request,ticket,in_progress,2025-05-09,critical
T02144,Ticket #2144 - Security,ticket,closed,2025-08-08,critical
T01441,Ticket #1441 - Performance,ticket,resolved,2025-08-27,critical
T01434,Ticket #1434 - Onboarding,ticket,in_progress,2025-03-28,high
C0037,SmartEdge #37,client,starter,2025-10-07,true
T02948,Ticket #2948 - Training,ticket,closed,2025-10-01,high
T00061,Ticket #61 - Integration,ticket,open,2025-07-14,high
T01861,Ticket #1861 - Support,ticket,closed,2025-08-24,critical
T00768,Ticket #768 - Support,ticket,open,2026-02-25,medium
T02409,Ticket #2409 - Onboarding,ticket,pending,2026-01-15,low
M00687,Message #687,message,internal_note,2025-08-10,true
M00204,Message #204,message,inbound,2025-03-10,true
T01523,Ticket #1523 - Integration,ticket,in_progress,2025-07-23,low
T02016,Ticket #2016 - Bug,ticket,open,2025-07-16,high
U0038,Quentin Lambert,user,supervisor,2025-01-01,true
T00551,Ticket #551 - Billing,ticket,in_progress,2026-02-16,critical
T01777,Ticket #1777 - Performance,ticket,pending,2025-04-01,low
T01728,Ticket #1728 - Integration,ticket,open,2026-02-22,medium
M00087,Message #87,message,internal_note,2025-05-14,true
T03232,Ticket #3232 - Training,ticket,resolved,2025-05-13,critical
T03150,Ticket #3150 - Support,ticket,resolved,2025-10-28,low
T01841,Ticket #1841 - Support,ticket,closed,2026-02-20,critical
T00745,Ticket #745 - Training,ticket,open,2025-06-29,medium
T01734,Ticket #1734 - Performance,ticket,pending,2025-06-30,critical
M01099,Message #1099,message,outbound,2025-07-05,true
M00750,Message #750,message,internal_note,2025-09-01,true
T02875,Ticket #2875 - Support,ticket,in_progress,2025-09-23,low
T03453,Ticket #3453 - Billing,ticket,in_progress,2025-05-02,critical
M00523,Message #523,message,internal_note,2025-12-03,true
M00712,Message #712,message,internal_note,2025-04-01,true
M00274,Message #274,message,inbound,2025-12-06,true
T02896,Ticket #2896 - Feature Request,ticket,open,2025-11-02,medium
T01562,Ticket #1562 - Support,ticket,open,2025-09-25,medium
M00690,Message #690,message,internal_note,2026-02-20,true
M00213,Message #213,message,outbound,2025-12-10,true
T02233,Ticket #2233 - Onboarding,ticket,pending,2025-05-19,critical
T03252,Ticket #3252 - Security,ticket,in_progress,2025-06-09,critical
M01003,Message #1003,message,outbound,2025-10-19,true
M00336,Message #336,message,inbound,2025-04-07,true
T00642,Ticket #642 - Security,ticket,in_progress,2025-03-26,medium
T00582,Ticket #582 - Documentation,ticket,closed,2025-07-03,high
T00769,Ticket #769 - Billing,ticket,pending,2026-01-28,critical
T00939,Ticket #939 - Documentation,ticket,pending,2025-08-06,low
T00984,Ticket #984 - Onboarding,ticket,in_progress,2026-01-25,high
T01254,Ticket #1254 - Billing,ticket,open,2025-03-31,critical
C0014,EpsilonAI #14,client,starter,2023-11-23,true
M01042,Message #1042,message,internal_note,2025-06-17,true
T03106,Ticket #3106 - Onboarding,ticket,open,2025-05-29,critical
M00205,Message #205,message,inbound,2025-06-30,true
T03269,Ticket #3269 - Training,ticket,resolved,2025-11-07,medium
M00863,Message #863,message,outbound,2025-08-03,true
T02535,Ticket #2535 - Support,ticket,closed,2026-02-10,medium
M01098,Message #1098,message,internal_note,2025-04-30,true
C0046,EtaWorks #46,client,pro,2024-01-29,false
T01309,Ticket #1309 - Security,ticket,closed,2025-08-24,critical
T01081,Ticket #1081 - Security,ticket,closed,2025-04-09,low
T01345,Ticket #1345 - Bug,ticket,closed,2025-12-25,low
T00867,Ticket #867 - Training,ticket,open,2025-04-06,low
M00325,Message #325,message,outbound,2025-08-07,true
M00064,Message #64,message,outbound,2025-05-12,true
M00709,Message #709,message,internal_note,2025-10-15,true
TAG019,enterprise,tag,tag,,true
M00084,Message #84,message,inbound,2025-05-23,true
T01240,Ticket #1240 - Bug,ticket,pending,2025-05-31,medium
T02450,Ticket #2450 - Onboarding,ticket,open,2026-01-20,low
M00961,Message #961,message,internal_note,2025-10-25,true
T03344,Ticket #3344 - Billing,ticket,resolved,2025-10-21,low
T01956,Ticket #1956 - Integration,ticket,pending,2025-11-10,medium
M00661,Message #661,message,outbound,2025-09-16,true
T03361,Ticket #3361 - Billing,ticket,open,2025-03-17,high
M00570,Message #570,message,outbound,2025-09-17,true
T01512,Ticket #1512 - Documentation,ticket,closed,2026-03-09,critical
M00471,Message #471,message,internal_note,2025-11-11,true
C0048,IotaLabs #48,client,pro,2025-07-29,false
T02986,Ticket #2986 - Integration,ticket,closed,2025-12-14,high
T00547,Ticket #547 - Training,ticket,resolved,2025-05-16,critical
T03023,Ticket #3023 - Performance,ticket,pending,2026-02-11,high
T00423,Ticket #423 - Documentation,ticket,pending,2026-01-30,low
T01896,Ticket #1896 - Bug,ticket,resolved,2025-05-15,medium
T00393,Ticket #393 - Billing,ticket,open,2025-04-29,medium
T02408,Ticket #2408 - Bug,ticket,in_progress,2025-07-18,high
T01438,Ticket #1438 - Bug,ticket,in_progress,2025-09-08,low
T01939,Ticket #1939 - Security,ticket,resolved,2025-12-16,critical
T03340,Ticket #3340 - Billing,ticket,pending,2025-09-21,high
M01035,Message #1035,message,internal_note,2025-12-29,true
T01798,Ticket #1798 - Performance,ticket,open,2025-12-18,high
T01393,Ticket #1393 - Integration,ticket,open,2026-01-17,high
M01055,Message #1055,message,internal_note,2026-02-02,true
T02927,Ticket #2927 - Bug,ticket,resolved,2026-03-06,critical
T01089,Ticket #1089 - Documentation,ticket,open,2025-06-26,high
T00554,Ticket #554 - Integration,ticket,pending,2025-08-22,critical
T03148,Ticket #3148 - Support,ticket,pending,2025-03-17,high
T02019,Ticket #2019 - Security,ticket,closed,2025-05-15,high
T02463,Ticket #2463 - Documentation,ticket,in_progress,2026-02-27,medium
T00278,Ticket #278 - Security,ticket,pending,2026-03-02,high
T01883,Ticket #1883 - Support,ticket,closed,2026-01-29,high
T00342,Ticket #342 - Billing,ticket,pending,2025-06-20,low
T00291,Ticket #291 - Security,ticket,in_progress,2025-10-25,low
T02386,Ticket #2386 - Billing,ticket,resolved,2025-09-10,critical
T00583,Ticket #583 - Billing,ticket,closed,2025-09-30,critical
T00474,Ticket #474 - Support,ticket,pending,2025-10-01,critical
T00250,Ticket #250 - Onboarding,ticket,resolved,2025-12-01,high
M00406,Message #406,message,outbound,2025-03-29,true
M00175,Message #175,message,outbound,2025-07-31,true
T01654,Ticket #1654 - Bug,ticket,pending,2025-05-15,high
T00269,Ticket #269 - Feature Request,ticket,open,2025-11-08,critical
M00627,Message #627,message,outbound,2025-04-24,true
T03371,Ticket #3371 - Feature Request,ticket,in_progress,2026-01-22,low
M00930,Message #930,message,internal_note,2025-09-03,true
T01660,Ticket #1660 - Feature Request,ticket,in_progress,2025-09-06,critical
T00659,Ticket #659 - Onboarding,ticket,in_progress,2026-02-06,high
T01449,Ticket #1449 - Integration,ticket,in_progress,2025-08-05,critical
M00174,Message #174,message,internal_note,2025-08-04,true
TAG018,recurring,tag,tag,,true
M00772,Message #772,message,inbound,2026-02-19,true
T00329,Ticket #329 - Onboarding,ticket,closed,2025-04-19,high
T01260,Ticket #1260 - Billing,ticket,closed,2025-07-07,medium
M00899,Message #899,message,internal_note,2025-05-25,true
M01005,Message #1005,message,outbound,2025-04-12,true
T02191,Ticket #2191 - Integration,ticket,open,2025-05-08,low
T01255,Ticket #1255 - Integration,ticket,in_progress,2025-05-20,low
T00936,Ticket #936 - Billing,ticket,closed,2025-06-26,high
T02232,Ticket #2232 - Performance,ticket,closed,2025-05-04,medium
T01800,Ticket #1800 - Training,ticket,in_progress,2025-09-24,critical
T01677,Ticket #1677 - Billing,ticket,open,2025-07-08,high
T03042,Ticket #3042 - Bug,ticket,open,2025-06-06,medium
T00949,Ticket #949 - Onboarding,ticket,closed,2025-04-27,critical
T02248,Ticket #2248 - Training,ticket,closed,2025-12-01,critical
M00651,Message #651,message,inbound,2025-06-22,true
M00725,Message #725,message,inbound,2025-05-24,true
T03463,Ticket #3463 - Onboarding,ticket,closed,2025-08-17,low
M00605,Message #605,message,outbound,2025-09-09,true
T00812,Ticket #812 - Training,ticket,resolved,2025-12-10,critical
T01533,Ticket #1533 - Integration,ticket,in_progress,2025-04-29,medium
T01809,Ticket #1809 - Performance,ticket,resolved,2025-05-22,medium
T00318,Ticket #318 - Bug,ticket,pending,2025-05-31,high
T03489,Ticket #3489 - Support,ticket,in_progress,2025-12-08,low
T02865,Ticket #2865 - Documentation,ticket,pending,2026-01-18,low
M00226,Message #226,message,inbound,2025-08-10,true
T00495,Ticket #495 - Support,ticket,pending,2025-03-25,low
M01168,Message #1168,message,inbound,2025-11-13,true
M00424,Message #424,message,outbound,2025-08-01,true
T01284,Ticket #1284 - Training,ticket,in_progress,2026-01-24,medium
T00173,Ticket #173 - Feature Request,ticket,open,2026-01-26,low
T03392,Ticket #3392 - Performance,ticket,open,2025-07-25,critical
T03295,Ticket #3295 - Security,ticket,in_progress,2025-06-19,critical
T01568,Ticket #1568 - Integration,ticket,closed,2025-04-21,high
T02795,Ticket #2795 - Feature Request,ticket,pending,2025-10-07,high
T01679,Ticket #1679 - Training,ticket,in_progress,2025-09-16,medium
